id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
Q8NCH0	0.562	-0.241	0.164	-0.215	-0.096	-0.302	0.207	-0.074	0.263	-0.125	-0.073	0.105
Q12809	-0.693	-0.207	0.992	-0.062	-0.357	-0.342	0.547	-0.345	-0.601	-0.339	0.039	0.016
Q9HCG1	-0.188	-0.315	0.13	0.326	-0.234	-0.131	0.01	0.143	-0.471	1.127	-0.144	0.135
Q17RC7	-0.011	0.756	-0.205	-0.009	0.306	0.06	-0.03	-0.144	0.359	0.068	-0.449	0.046
O75530-2	-0.215	-0.427	0.394	-0.151	-0.093	-0.296	0.242	0.1	-0.202	-0.276	0.161	0.225
B4DSW6	-0.315	-0.417	-0.695	-0.532	0.021	-0.551	-1.114	-0.214	-0.052	-0.325	-0.237	-0.143
Q6UWY0	0.377	-0.666	-0.016	-0.006	-0.078	-0.503	0.117	0.11	0.064	-0.366	0.342	0.313
P01708	NA	0.438	-0.032	-0.78	NA	0.097	-0.076	-0.759	NA	0.337	0.411	-0.963
Q86UP3-2	-0.247	-0.295	-0.151	0.097	-0.215	-0.429	-0.35	-0.441	-0.017	-0.496	0.002	0.047
B4DU55	NA	-0.281	0.614	0.749	NA	-0.084	0.412	0.069	NA	-0.299	0.829	-0.027
Q5SXM2	-0.676	0.054	-0.013	-0.091	-0.177	-0.032	0.277	0.136	0.133	-0.146	-0.066	-0.005
Q8N823	-0.01	0.468	-0.339	0.648	0.096	0.504	-0.172	0.268	0.307	-0.072	-0.074	0.046
Q9H336	NA	NA	-0.332	-0.114	NA	NA	-0.29	-0.065	NA	NA	0.083	-0.072
Q9H5Q4	0.071	0.147	-0.029	0.189	-0.031	0.138	0	0.062	-0.193	-0.074	-0.099	0.066
O94986	0.239	0.202	0.225	-0.209	0.342	0.383	0.584	-0.079	0.005	-0.038	0.39	0.22
Q96PY5	-0.427	-0.278	0.005	-0.81	-0.488	-0.291	0.087	-1.007	-0.551	-0.653	-0.151	-1.272
B7ZLQ5	0.574	-0.018	0.01	0.045	0.28	-0.395	0.275	0.179	0.709	0.222	1.441	-0.229
B4DYU5	-0.044	-0.089	-0.06	-0.101	-0.146	0.075	-0.171	-0.16	-0.107	-0.003	-0.058	0.018
Q9Y2E4	0.122	-0.071	-0.756	-1.544	0.39	-2.225	-0.082	-1.85	-0.085	1.37	-0.319	-1.892
P01776	0.107	-0.345	-1.274	-0.265	-0.122	-0.121	-1.735	-0.481	0.011	-0.18	-0.742	-0.547
O75715	-0.726	0.253	-0.069	0.092	-0.326	0.016	-0.183	-0.237	-0.062	-0.16	-0.431	0.022
Q9NZN4	-0.519	0.012	0.263	0.729	-0.722	-0.069	0.179	1.144	-0.255	0.355	-0.068	0.783
Q16842	-0.064	0.042	-0.341	-0.033	0.008	0.061	-0.259	0.015	-0.257	0.124	-0.205	0.041
P01594	0.174	-0.481	-1.747	-0.956	-0.062	-0.4	-2.155	-0.795	0.16	-0.282	-0.548	-0.656
P04271	-0.038	0.384	-0.108	0.032	0.387	0.261	-0.036	0.27	0.012	-0.221	-0.182	0.25
B4DJ38	0.179	0.102	0.211	-0.235	-0.235	0.156	0.181	-0.432	0.033	0.015	0.339	-0.361
O60312	0.011	-0.167	-0.063	-0.488	-0.057	0.035	-0.298	-0.208	-0.094	0.211	-0.037	-0.121
D3DRA2	0.471	0.04	0.032	0.194	0.002	0.032	-0.035	0.541	-0.017	0.076	-0.157	0.338
A5YKK6	-0.033	0.062	-0.141	NA	1.17	0.084	0.602	NA	1.822	-0.072	1.181	NA
P51665	-0.212	0.022	-0.145	-0.209	0.174	0.008	-0.255	-0.1	0.216	-0.008	-0.346	-0.5
Q8N7Z5	-0.827	0.067	0.093	0.759	0.588	0.248	0.308	0.52	0.568	0.217	0.46	0.154
P01604	0.082	-0.68	-2.174	-0.851	-0.185	-0.708	-2.38	-1.306	-0.325	-0.701	-0.988	-1.344
B3KT33	0.292	-0.332	0.388	-0.01	-0.31	-0.332	0.181	-0.044	-0.019	-0.23	0.226	-0.019
Q92608	-0.206	0.082	-0.459	0.248	-0.054	-0.365	-0.628	0.244	-0.97	0.418	-0.383	0.288
Q9UK10	-0.117	-0.344	0.12	-0.116	-0.133	-0.352	0.409	-0.058	-0.223	-0.187	-0.064	0.083
A8K539	0.133	-0.292	-0.045	0.493	-0.374	-0.466	-0.247	0.381	-0.504	-0.175	-0.071	0.341
Q12794-5	0.814	-0.073	-0.45	-0.108	-0.235	0.013	-0.087	-0.183	-0.752	-0.009	0.091	-0.667
Q53RT3	NA	-0.45	0.185	0.145	NA	-0.621	-0.03	0.118	NA	-0.867	0.042	-0.102
Q8WW52	-0.163	0.232	-0.209	0.087	0.054	0.734	-0.048	0.262	0.172	0.183	-0.005	0.301
P51003	0.593	0.021	-0.095	-0.306	0.284	-0.032	0.007	-0.526	0.041	-0.321	0.05	-0.197
Q86T65	-0.134	-0.055	-0.865	-0.017	-0.104	-0.087	-0.75	-0.137	-0.166	0.181	-0.306	-0.251
Q99550	0.193	0.081	0.014	-0.073	0.215	-0.014	-0.135	0.395	-0.091	-0.112	0.194	-0.089
Q5T4B2	0.191	0.823	-0.269	1.056	-0.379	-0.297	-0.309	0.072	-0.1	1.64	-0.354	-0.627
Q3SZ57	0.151	-1.089	-1.523	-1.24	0.128	-0.865	-0.834	-2.145	-0.108	-1.119	0.318	-3.184
Q12797-3	0.109	0.302	-0.168	0.038	0.064	0.253	-0.067	-0.14	0.109	-0.221	-0.175	-0.026
O75110-2	0.01	0.546	-0.316	-0.447	-0.477	0.126	-0.256	0.214	-0.153	0.34	0.142	-0.031
Q9NQH7	NA	0.295	-0.004	0.177	NA	0.404	-0.154	0.352	NA	0.55	0.06	0.149
B2RP65	0.927	-0.187	0.018	NA	0.142	-0.296	-0.02	NA	-0.172	-0.085	0.076	NA
O94964-2	0.134	-0.144	-0.022	0.025	-0.068	-0.116	0.053	-0.072	-0.201	-0.182	-0.129	-0.172
B4DVW6	0.134	-0.144	-0.022	0.025	-0.068	-0.116	0.039	-0.072	-0.201	-0.182	-0.129	-0.172
Q9BT92	0.134	-0.144	-0.059	0.025	-0.068	-0.116	0.035	-0.072	-0.201	-0.182	-0.279	-0.172
D1MQ08	NA	-0.739	-0.176	-0.003	NA	-1.124	-1.17	0.2	NA	-0.738	-1.028	0.227
Q9P2J2	0.686	-0.97	-0.348	-2.507	0.014	-0.315	-1.512	-1.736	0.456	-0.44	-1.275	-1.78
P42858	NA	0.087	-0.293	-1.34	NA	-0.045	-0.153	NA	NA	-0.095	-0.099	-0.926
B4DDK1	0.014	0.135	0.199	-0.081	0.055	0.199	0.032	0.216	-0.006	-0.039	0.105	0.062
B4DG71	-0.083	0.054	-0.087	0.229	-0.115	0.182	-0.102	0.354	-0.328	0.104	0.138	0.125
B4DX81	-0.111	0.084	-0.037	0.269	0.097	-0.015	-0.103	0.491	0.085	-0.431	-0.414	0.019
P54750-5	-0.197	-0.316	-0.036	-0.206	-0.617	-0.413	-0.028	-0.311	0.995	0.132	-0.165	-0.122
O75899	-0.227	0.238	-0.054	0.243	0.083	0.135	-0.19	0.156	0.107	0.055	-0.013	0.05
Q96N23	-0.465	0.022	0.19	-0.638	-0.435	-0.231	0.086	-0.363	-0.087	-0.46	0.348	-0.469
O95568	NA	-0.517	-1.849	-1.947	NA	-0.691	-1.392	-2.341	NA	-0.703	-0.584	-2.274
B7ZVX8	-0.297	0.837	0.044	0.405	0.253	0.755	-0.087	0.738	0.211	-0.586	0.016	0.53
P15621	-0.217	0.117	-0.83	-0.25	0.049	0.098	-0.079	0.109	-0.174	0.196	0.149	0.091
Q969W1-4	-0.222	-0.202	0.096	0.035	-0.289	-0.082	0.006	-0.109	-0.609	-0.01	-0.012	-0.106
Q99569	0.204	-0.156	0.416	0.077	-0.28	-0.194	0.406	0.19	-0.207	0.116	0.285	0.047
Q93097-2	-0.489	NA	-0.055	0.393	-0.233	NA	0.308	0.52	-0.48	NA	0.311	0.34
D3DQK5	0.16	-0.086	-0.445	0.212	0.284	-0.036	-0.5	0.2	0.341	0.039	-0.15	0.081
Q8NEM8	0.097	-0.141	-0.447	-0.111	0.41	-0.501	0.031	-0.13	0.209	-0.297	-0.043	0.01
Q96BN8	0.035	0.812	-0.011	0.573	0.353	0.85	-0.017	0.758	-0.108	0.074	-0.253	0.142
Q8TAJ0	-1.382	-0.368	-0.011	0.056	-0.308	-0.124	0.647	0.249	0.217	-0.555	0.421	-0.064
Q6ZQX6	-0.07	0.005	0.369	NA	0.106	0.106	0.365	NA	0.024	0.019	0.521	NA
Q13698	-0.62	0.937	0.05	NA	-0.244	-0.278	0.258	NA	-0.472	2.349	0.156	NA
P12644	NA	-0.417	0.177	NA	NA	-0.111	0.055	NA	NA	-0.204	0.2	NA
P06311	-0.065	-0.752	-1.345	NA	-0.226	-0.682	-1.436	NA	-0.085	-0.586	-0.475	NA
Q6PE46	0.165	0.196	0.087	NA	0.05	0.137	-0.118	NA	-0.16	-0.196	-0.469	NA
Q9BYC9	-0.281	-0.246	-0.769	NA	1.851	-0.042	-0.412	NA	2.849	0.159	0.106	NA
Q9ULK0	0.415	0.478	-0.484	NA	-0.401	0.343	-0.726	NA	-0.276	0.075	-0.707	NA
O15273	-0.239	0.029	-0.188	NA	-0.548	-0.157	-0.246	NA	0.459	0.003	-0.122	NA
P01780	0.069	-0.201	-1.745	NA	-0.083	-0.25	-1.782	NA	-0.003	-0.434	-0.644	NA
Q8N766	-0.28	NA	-1.025	NA	-0.003	NA	-0.673	NA	0.009	NA	0.115	NA
A8KA25	0.488	-0.695	0.139	NA	-0.079	-0.981	0.17	NA	-0.148	-0.438	-0.384	NA
P43304	0.566	-0.205	-0.233	NA	3.308	-0.519	-0.144	NA	0.401	-0.488	-0.385	NA
Q7Z3D7	NA	-0.124	-0.043	NA	NA	-0.227	0.05	NA	NA	0.076	-0.335	NA
O95972	0.677	-0.027	-0.07	NA	-0.101	0.066	-0.249	NA	1.218	0.423	-0.103	NA
B3KTU5	0.265	0.544	0	NA	-0.077	-1.2	-0.188	NA	-0.556	3.84	-0.176	NA
Q9Y5I1	-0.059	0.171	-1.032	NA	0.051	0.157	-0.969	NA	-0.101	0.063	-0.351	NA
P04431	0.082	-0.68	-2.443	NA	-0.185	-0.708	-2.838	NA	-0.325	-0.701	-1.16	NA
A8K8P3	-0.036	0.415	0.164	NA	0.007	-0.092	-0.2	NA	-0.03	-0.275	0.379	NA
Q03828	-0.373	-0.039	-0.05	NA	-0.092	-0.103	-0.035	NA	-0.462	-0.017	-0.118	NA
P16989	0.188	NA	-0.224	NA	0.104	NA	-0.457	NA	0.333	NA	-0.171	NA
Q63HJ3	0.768	-0.234	-0.046	NA	-0.465	-0.208	-0.067	NA	-0.795	-1.191	0.134	NA
Q8N957	-0.485	-0.169	0.076	NA	0.128	-0.221	0.136	NA	0.287	0.053	0.041	NA
B3KPW0	-0.014	-0.437	-0.007	NA	0.124	-0.219	0.059	NA	-0.646	-0.323	0.132	NA
Q96FS4	-0.628	-0.371	-0.173	NA	-0.287	-0.433	-0.189	NA	-0.21	-0.264	-0.586	NA
P04035	0.053	-0.151	-1.065	NA	0.997	-0.332	-0.37	NA	0.901	-0.343	0.273	NA
O00408	0.269	-0.094	-0.008	NA	0.952	0.442	-0.022	NA	1.709	0.535	0.422	NA
Q9NQW8	0.403	0.057	-0.949	NA	0.226	-0.1	-0.292	NA	0.307	-0.022	-0.093	NA
B2RXJ3	0.82	-0.116	-0.561	NA	-0.133	0.003	-0.482	NA	0.038	0.193	0.314	NA
P55286	0.629	-0.155	-0.105	NA	-0.405	-0.114	-0.495	NA	0.027	-0.141	-0.459	NA
A8MUR0	0.516	0.064	-0.143	NA	0.223	0.111	-0.193	NA	-0.545	-0.349	-0.195	NA
O95995	-0.443	-0.091	-0.163	NA	0.215	-0.077	-0.129	NA	-0.153	-0.255	-0.072	NA
Q9BXM0-2	0.166	0.719	-0.069	NA	0.04	0.254	0.309	NA	-0.764	-0.351	-0.189	NA
Q8WY91	-0.519	0.302	0.012	NA	1.09	0.251	1.255	NA	0.963	0.356	1.185	NA
Q96AV8	0.326	0.72	-0.74	NA	0.074	0.517	-0.215	NA	0.198	0.048	-0.004	NA
Q12852	-0.937	0.584	-0.352	NA	0.039	1.48	-0.823	NA	0.661	0.826	-1.336	NA
A6NKZ2	-1.089	0.055	0.571	NA	-0.946	-0.001	-0.035	NA	-0.054	-0.192	-1.411	NA
Q8N3F8	-0.729	-0.168	-0.181	NA	-0.647	-0.096	-0.369	NA	-0.358	-0.381	-0.645	NA
Q12923-4	0.308	-0.292	-0.137	NA	0.421	-0.326	-0.246	NA	-0.156	0.267	-0.236	NA
Q7Z3S7-5	-0.331	0.081	-0.039	NA	0.218	-0.304	-0.111	NA	0.016	-0.395	0.273	NA
Q8IWI9	-0.312	0.019	0.037	0.136	0.834	0.099	-0.2	0.016	0.445	0.207	0.02	0.04
A6NIW2	-0.035	1.004	NA	-0.324	-0.021	0.013	NA	-0.072	-0.086	-0.389	-0.609	-0.089
Q9UPN3	-0.061	-0.398	-0.489	0.231	2.386	-0.409	-0.385	-0.133	3.361	-0.303	0.027	0.003
Q8IXQ3	-0.034	0.292	-0.382	0.65	0.244	0.537	-0.324	0.266	0.153	0.387	-0.481	0.383
P14868	-0.4	NA	-0.446	0.081	0.32	NA	-0.537	0.068	0.188	NA	-0.178	0.074
B4DTN6	-0.213	-0.391	-0.289	-0.013	0.143	-0.142	0.063	-0.34	2.484	-0.221	-0.285	0.053
Q8WXG9	0.048	-0.397	0.014	-0.003	-0.088	-0.387	-0.148	-0.006	-0.611	0.109	-0.398	-0.106
Q14416	NA	-0.259	-0.004	-0.201	-0.8	-0.171	0.499	-0.01	-0.554	-0.157	0.38	-0.173
Q8IUA7	0.603	-0.149	-1.849	-0.275	0.17	-0.182	-0.591	-0.144	0.056	2.961	0.734	0.03
P09874	0.475	0.403	0.373	-0.262	-0.164	-0.2	0.037	-0.284	0.485	1.181	0.007	-0.026
O60318	0.165	0.117	NA	0.133	0.109	0.029	NA	-0.021	0.18	0.18	NA	-0.014
O75643	0.121	0.072	0.149	-0.14	-0.352	-0.088	-0.16	-0.22	-0.017	0.231	-0.054	-0.073
B4DXC3	0.335	-0.331	0.302	-0.039	-0.106	-0.286	0.194	-0.07	-0.089	0.183	0.491	0.089
Q9P227	NA	-0.318	-0.622	0.081	NA	-0.534	0.023	0.002	NA	-0.593	-0.85	0.033
Q8NA47	0.202	0.039	-0.423	-0.146	-0.091	0.13	1.912	-0.195	-0.346	-0.087	0.106	-0.148
P20718	-0.093	-1.14	NA	-0.943	-0.095	-1.012	NA	-0.698	0.005	-0.98	NA	-0.675
A7E212	-0.057	0.127	-0.005	0.533	0.723	0.305	-0.145	0.093	0.967	0.136	0.02	0.748
B7Z444	-0.008	0.072	0.197	0.119	-0.245	0.176	0.015	0.159	0.029	0.254	-0.076	0.037
A8MU27	0.008	0.227	0.085	0.03	0.341	0.435	0.111	0.264	0.457	0.036	-0.099	0.179
P31431	0.518	0.18	0.365	0.343	0.963	0.258	0.508	0.105	0.457	0.202	0.686	0.04
Q9NQX4	0.549	-0.042	-1.148	-0.685	-0.071	-0.138	-0.83	-1.001	-0.41	0.106	0.207	-1.045
Q9ULD0	-0.169	-0.684	-1.308	0.029	0.192	-0.827	-1.426	0.12	-0.398	-0.191	-0.5	0.062
Q9UL15-2	-0.188	-0.044	0.731	0.152	0.139	0.112	0.407	0.311	0.1	0.17	0.304	0.05
P82675	0.25	-0.077	-0.059	-0.099	-0.326	0.309	0.008	-0.388	0.542	0.17	0.111	0.006
B3KSJ5	0.115	NA	-0.236	-0.008	0.028	NA	-0.038	-0.147	0.206	NA	-0.132	-0.075
B4DXW5	0.082	0.226	-0.178	-0.101	0.522	0.155	-0.146	-0.136	0.149	-0.387	-0.189	0.243
Q14571	-0.111	-0.361	-0.418	0.577	-0.464	0.331	-0.379	0.008	-0.375	-0.123	-0.094	0.732
P51149	-0.562	0.055	0.049	-0.335	-0.367	0.164	-0.033	0.096	0.14	0.086	-0.379	0.074
O43336	0	-0.675	-0.143	-0.533	0.422	-0.578	-0.547	0.057	1.434	-0.426	-0.229	-0.262
Q86VS3	0.035	0.357	0.047	0.188	0.053	0.319	0.019	0.291	0.103	-0.394	0.033	0.357
O95180	0.172	-0.462	0.291	-0.485	0.019	-0.457	0.25	-0.778	0.224	-0.328	0.125	-0.682
A4D1F6	0.111	-1.011	0.529	-0.084	-0.065	-1.675	0.379	-0.306	-0.103	0.604	0.394	-0.173
B7ZLV9	0.383	-0.003	-0.01	0.158	0.929	-0.543	0.029	-0.065	0.487	2.278	-0.221	-0.043
O00255	-0.402	NA	NA	-0.069	-0.313	NA	NA	-0.103	-0.367	NA	NA	-0.091
B4DF45	0.384	0.398	-0.004	-0.289	0.589	0.638	0.377	0.122	0.485	0.718	0.099	0.453
Q9P2G1	-0.892	-0.194	0.185	0.028	-1.755	-0.131	0.553	-0.159	-1.41	-0.274	0.417	-0.137
Q96CK0	0.06	0.021	-1.483	0.202	-0.078	0.043	-1.577	0.073	-0.152	-0.055	-0.802	-0.082
Q5QGS0	0.553	-0.616	0.209	-0.321	-0.278	-0.602	0.207	-0.335	1.965	0.055	0.116	-0.482
Q9BPU6	0.973	1.125	0.258	-0.119	1.989	1.871	0.895	-0.302	1.915	2.499	1.644	-0.301
B2RTY4-4	0.065	NA	-2.691	0.329	0.05	NA	-1.348	0.267	0.117	NA	0.276	0.238
Q6IQ21	0.055	-0.078	-0.258	0.224	0.026	-0.175	0.146	-0.329	-0.071	0.084	0.243	0.266
Q9UPW6	0.18	0.168	1.342	-0.145	-0.151	0.031	1.123	0.269	-0.075	-0.303	1.61	0.111
B7Z765	-0.178	0.854	-2.283	-0.201	-0.543	-0.077	-1.405	-0.925	-0.374	2.102	0.234	-1.098
D3DX46	-0.235	0.106	-0.122	-0.048	-0.3	-0.054	-0.374	-0.148	0.341	-0.266	-0.297	-0.164
Q6UB99	-2.338	-1.291	-0.648	0.72	-0.068	-0.996	-1.925	-0.329	-0.065	-1.272	-2.235	1.076
B4DIC0	0.03	0.241	0.315	-0.147	-0.278	0.239	0.017	0.045	-0.177	0.332	0.37	0.115
Q9Y5X4	NA	0.263	-0.068	1.141	NA	0.217	-0.089	0.659	NA	-0.118	0.054	0.314
Q9Y6G1	0.096	-0.074	0.116	-0.133	0.007	-0.053	0.188	-0.466	-0.129	-0.006	0.141	-0.075
Q9Y5E1	0.192	-0.928	-0.667	0.044	0.321	-0.665	-0.704	-0.544	-0.054	-0.108	-0.286	-0.24
Q15011	-0.035	0.121	-0.026	-0.126	0.593	0.394	0.315	0.113	0.636	0.181	0.288	0.079
O76093	-0.268	NA	-0.26	0.011	-0.428	NA	-0.096	-0.137	-0.539	NA	-0.423	0.049
O14910	0.169	-0.573	0.242	-0.19	-0.16	-0.43	1.026	0.016	0.01	-0.547	0.517	-0.125
Q07065	0.247	0.434	-0.005	0.716	-0.241	0.399	0.088	-0.133	-0.086	0.507	0.083	-0.413
Q9UKR3	0.255	-0.654	-0.05	0.009	-0.23	0.072	0.128	-0.448	-1.215	0.15	-0.151	-0.244
Q86UW6	-0.023	-0.017	NA	0.096	-0.011	-0.091	NA	0.054	0.081	0.062	NA	-0.053
O43795	-0.563	-0.266	NA	-0.1	-0.531	-0.334	NA	-0.073	1.107	-0.086	NA	0.066
P0C7P3	0.266	-0.02	NA	-0.002	0.184	0.107	NA	-0.234	-0.133	0.071	NA	-0.114
B5MDB1	-0.056	0.986	NA	-0.175	-0.047	0.769	NA	0.044	-0.06	-0.06	NA	0.052
Q9UNH7	0.007	0.066	NA	0.334	-0.069	-0.146	NA	0.538	0.042	0.452	NA	0.265
B9EGJ8	0.139	0.104	NA	-0.974	-0.361	0.13	NA	-1.116	-0.048	0.253	NA	-2.281
Q9P258	-0.215	-0.602	NA	0.067	0.087	-0.596	NA	-0.001	0.022	-0.533	NA	-0.002
B4DQU9	-0.135	-0.044	NA	0.215	-0.319	0.058	NA	-0.085	-0.349	0.072	NA	0.092
Q9H7U1	-0.135	-0.044	NA	0.167	-0.319	0.058	NA	-0.31	-0.349	0.072	NA	-0.108
P16591	0.045	-0.103	NA	-0.258	0.618	-0.122	NA	-0.164	0.423	-0.331	NA	-0.238
Q59H18	0.533	0.21	NA	0.123	0.563	0.15	NA	0.399	1.324	0.314	NA	0.43
Q96C36	0.036	-0.228	NA	-0.25	-0.146	-0.226	NA	-0.314	-0.206	0.04	NA	0.021
Q92538	0.022	0.038	NA	-0.08	0.39	-0.136	NA	-0.251	0.538	0.036	NA	-0.152
Q38SD2	0.047	0.508	NA	0.347	0.634	-0.209	NA	0.14	0.03	0.742	NA	0.029
P53621-2	0.267	NA	NA	0.217	-0.388	NA	NA	0.048	-0.327	NA	NA	0.155
A6NK75	-0.044	2.211	NA	0.046	2.196	0.294	NA	0.204	0.363	0.463	NA	0.935
P10323	0.413	-0.006	NA	-0.347	0.05	0.056	NA	-0.265	-0.134	-0.003	NA	-0.133
P51813	-0.81	0.675	NA	-0.049	-0.753	-0.59	NA	-0.312	-0.886	-0.107	NA	-0.102
Q6W2J9	0.321	-0.454	NA	-0.184	-0.079	0.072	NA	-0.099	0.025	-0.024	NA	-0.177
Q5JWT2	0.114	-0.411	NA	0.033	-0.155	-0.576	NA	-0.163	-0.153	-0.373	NA	0.066
Q6ZVD7	-0.777	NA	NA	0.133	-0.36	NA	NA	0.23	-0.034	NA	NA	0.081
Q8N4T0	0.262	-0.158	NA	-0.316	0.049	-0.043	NA	-0.149	-1.745	-0.12	NA	0.314
B7Z9U8	0.294	-0.245	NA	-0.094	0.178	-0.299	NA	0.079	0.836	-0.26	NA	0.12
Q8WTU2	0.019	NA	0.02	-0.067	0.12	NA	0.145	0.049	-0.093	NA	-0.122	-0.269
Q9NTJ3	0.197	NA	-0.082	-0.224	0.314	NA	0.032	-0.23	0.166	NA	-0.186	-0.095
P36952	NA	NA	-0.027	-0.133	NA	NA	0.029	-0.073	NA	NA	0.091	0.099
Q5JS13-4	0.184	NA	-0.271	0.117	-0.133	NA	-0.029	-0.01	-0.358	NA	-0.06	-0.04
Q6GMR7	1.245	NA	-0.017	-0.286	0.683	NA	-0.069	-0.172	1.535	NA	-0.029	-0.052
Q32M96	-0.217	NA	-0.1	NA	-0.16	NA	-0.04	NA	-0.147	NA	0.201	NA
Q5JS13-5	0.184	NA	-0.285	0.373	-0.133	NA	-0.361	0.304	-0.358	NA	-0.69	0.22
Q9Y3R0	-0.088	NA	0.112	-0.358	-0.111	NA	0.038	-0.524	-0.241	NA	-0.062	-0.433
A6NI00	0.947	NA	0.028	1.044	0.975	NA	-0.079	1.277	0.73	NA	-0.155	1.106
Q9Y2J8	0.61	NA	0.023	0.143	-0.017	NA	-0.079	-0.406	-1.238	NA	-0.061	-0.024
Q9BQI0	-0.242	NA	0.353	-0.529	1.707	NA	0.121	-0.438	2.321	NA	0.492	-0.293
Q76FK4	-0.367	NA	-0.071	0.524	-0.578	NA	-0.408	0.211	-0.492	NA	-0.03	0.472
Q86V71	0.205	NA	0.018	-0.666	-0.508	NA	-0.049	-0.596	-0.354	NA	-0.072	0.095
P05423	-0.216	NA	0.042	0.285	-0.057	NA	0.033	0.116	-0.641	NA	0.013	0.126
B4DWA3	0.219	NA	0.094	NA	-0.122	NA	0.18	NA	-0.055	NA	0.112	NA
A6NH11	0.301	NA	-0.167	NA	-0.277	NA	0.094	NA	-0.512	NA	-0.021	NA
Q9BWV3	0.209	NA	0.1	NA	-0.394	NA	-0.088	NA	0.052	NA	-0.251	NA
Q14694-2	0.296	NA	-0.049	NA	-0.025	NA	-0.524	NA	0.069	NA	-0.546	NA
Q04912	-0.505	NA	0.056	NA	-0.395	NA	-0.173	NA	-0.128	NA	-0.111	NA
Q9HCM3	0.093	NA	-0.586	NA	-0.022	NA	-0.22	NA	-0.404	NA	0.376	NA
Q9NRZ7	0.217	NA	0.265	NA	0.224	NA	0.044	NA	0.416	NA	0.142	NA
Q6UW49	NA	NA	-0.142	-0.275	NA	NA	-0.171	-0.206	NA	NA	-0.317	-0.125
O60518	0.093	NA	0.154	-0.259	0.301	NA	-0.473	0.018	-0.025	NA	0.371	0.078
Q9Y2I2	-0.509	NA	0.198	0.161	0.204	NA	0.138	0.167	0.713	NA	0.312	0.105
Q6P0M4	NA	NA	-0.356	0.257	NA	NA	-0.256	0.214	NA	NA	-0.251	0.179
Q6ZMT9	0.4	NA	0.208	0.199	-0.067	NA	0.461	0.218	-0.267	NA	-0.078	-0.285
Q86WZ6	0.022	NA	0.181	-0.674	-0.33	NA	0.371	-0.682	-0.303	NA	0.373	-0.895
Q9H6A9	0.131	NA	-0.821	0.091	-0.405	NA	-0.459	-0.189	-0.564	NA	-0.393	0.154
A8MU03	NA	NA	-0.013	-0.312	-0.478	NA	0.354	-0.222	-0.562	NA	0.278	-0.098
Q15911	0.152	NA	0.068	-0.144	-0.144	NA	0.029	0.085	0.074	NA	0.119	-0.042
Q96JM4	0.934	NA	0.129	0.072	0.239	NA	-0.175	-0.188	0.054	NA	-0.303	0.016
P35612	-0.005	NA	-0.11	-0.112	-0.062	NA	-0.234	-0.225	-0.466	NA	-0.174	-0.432
Q8NB66	0.487	NA	-0.024	0.304	0.595	NA	0.215	-0.113	0.079	NA	-0.101	0.218
C9JJ05	0.751	NA	0.068	-0.164	0.871	NA	0.261	-0.109	0.735	NA	0.148	0
Q96L73	-0.377	NA	-0.279	-0.142	-0.438	NA	-0.265	-0.318	-0.334	NA	-0.036	-0.128
A8MUV8	0.767	NA	0.403	0.077	0.468	NA	0.042	-0.154	0.399	NA	-0.555	-0.163
P01906	-0.804	NA	0.208	0.229	0.086	NA	0.08	-0.061	-0.03	NA	0.261	-0.157
O60353	0.047	NA	-0.036	-0.003	0.848	NA	0.161	-0.243	-0.12	NA	0.191	-0.102
B4DTT3	0.167	NA	-0.1	-0.045	0.626	NA	0.094	-0.28	0.907	NA	0.177	-0.211
Q9NQ66	-0.176	NA	0.047	-0.074	-0.149	NA	-0.037	-0.385	0.099	NA	-0.09	0.027
B7Z2W9	0.382	NA	0.156	-0.125	-0.201	NA	0.214	-0.301	-0.269	NA	-0.153	-0.071
O95503	-0.308	NA	-0.826	0.278	-0.253	NA	-1.058	0.185	0.061	NA	-0.37	0.081
Q7Z3U5	NA	NA	-0.356	0.069	NA	NA	-0.256	-0.165	NA	NA	-0.251	-0.005
P10163	-0.277	NA	0.532	-0.233	0.113	NA	0.021	-0.136	-0.021	NA	0.226	-0.514
Q9Y251	0.927	NA	-0.037	0.273	1.766	NA	-0.039	-0.076	0.575	NA	0.898	0.014
Q86VH2	-0.686	NA	-0.317	0.223	-0.435	NA	-0.592	0.272	-0.276	NA	-0.188	0.163
Q96AK3	-0.854	NA	-0.738	-0.006	-0.16	NA	-0.239	-0.224	-0.735	NA	0.282	0.056
Q8TDM6	-0.133	NA	-0.045	NA	-0.057	NA	-0.288	NA	0.026	NA	-0.253	NA
Q5K651	-0.881	NA	0.339	-0.104	-1.234	NA	0.346	0.445	-1.216	NA	0.366	0.153
Q8NEN9	0.09	NA	0.026	0.306	0.374	NA	-0.023	0.326	0.522	NA	-0.954	0.218
P01824	0.192	NA	-1.448	-0.875	0.111	NA	-1.521	-0.697	0.066	NA	-0.791	-0.823
